cif,formula
2015272,C28 H24 O16 Sr4
7150034,C48 H52 I4 O8
4025552,C34 H56 N4 O10
7151815,C46 H38 N6 O8
7153982,C32 H50 N6 O12
4021814,C64 H48 O4 Se4
2218183,C20 Cl2 H32 N2
7217020,C36 H38 N2 O6
2200321,C34 H54 N2 O2
7103002,C36 H20 S4
7154011,B4 C60 F8 H32 N12 O4
4080575,B40 C8 H48 S12
7208905,C18 H22 N4 O4
4077995,Br2 C32 H70 P2 Pt1
4024209,Br2 C60 Cl6 H48 N8 Zn2
7105955,C2 H12 N8 O6
2012267,C12 H20 N12 S4
2213958,C24 F20 H8 N4
4020302,C30 H35 N3 O4
7155026,Br1 C18 F3 H15 N1 O1
7212126,C28 H56 N8 O16
7218766,C34 H36 N8 O6
7153969,C44 H38 N2 O8
7202554,C20 H24 N4 O6
4504253,C34 H38 N10 O10
1513458,C48 F2 H44 N2 O8
7154416,C48 H36 N12
4023177,C52 H56 N8 O16
7053128,C24 H36 N20 O8
2310123,C4 H12 O12
2207725,C10 H8 N4 O4
2211363,C28 H26 N6 O6
4500396,C28 H16 I4 O4
4073964,C40 H30 Mo1 O10 P2
4025361,C24 H24 N4 O4
2015077,C20 H8 N16
4504831,C28 H59 O4 P1
7150037,C48 H42 O6
4115279,Br2 C30 H66 N2
4031812,C50 H68 O8 Si2
2214759,C8 Cl4 H28 N4
2013814,C34 H38 N10 O14
2018584,C28 H40 O16
2011698,C32 H40 O10 S2
4029070,C52 H32 N16 S4
7109667,C40 H44 N8 O20
4343945,C4 H4 O8 Rb4
7117482,C36 H48 O8 Ti2
4000134,C48 H42 N2 O12
4081667,C64 Fe2 H52
7053222,C6 H22 N22 O6
4107817,C46 H36 N4
4021848,C42 H50 N2 O6
2241084,C52 Cl4 H36 O8
4512799,C44 H44 O6
4509412,C24 H12 Li4 O8
1518263,C28 F6 H18 O2 S2
2101976,C40 H56 N4 O4
7054721,C8 H8 O4
4080105,C34 H40 I2 N6 Pd2
4113216,C38 H52 O10 Rh2
4021846,C28 H28 O4
7053095,Ag4 C32 H24 N12
7212665,C26 H24 N4 O2
4021663,C60 H56 N2 O10 P2 S2
2203126,C18 H34 N2 O6
4508439,Br4 C24 H16 N4
2011375,C16 H32 N8 O8
4026754,C34 H52 N4 O8
1542951,C40 F12 H36 O4
7102897,C24 H16 P16
7214360,C36 H44 N8 O12
2006354,C24 H40 S8
4069142,C20 Ga4 H32
1519905,C20 H40 N4 O10
2102798,Br2 C26 H18 O2
2227480,C36 H42 N10 O14
1520153,C32 H40 N8 O16
7154724,C40 Cl2 H38 N4 O8
2010885,C20 H20 O4 S4
1507463,C44 H36 N4 O8
7111201,C6 H12 N2 O2
7218413,C34 H26 N2
2005171,C24 H52 N4 O8
7212663,C26 H24 N4 O2
8102103,C11 H12 O5
4077966,C44 Cl4 H60 N4 Pd2
1518057,Ag4 C20 H12 O12
7220022,C48 Cl24 H24
1542891,C46 H36 N4 O2
1513955,C32 H34 N2 O12
1543389,C18 H22 N2 O10
1504910,C48 Cl4 H64 N4 O4
7117457,C42 H44 N4 O4
4024226,C40 Cl2 H40 O14 P2
2013612,C40 H44 N4 O12
1508608,C36 F8 H36 N4
4025175,C20 Cl4 H12 N4 S4
7213156,C28 H40 N8 O8
1511957,C40 H50 N2 O8
4028375,C44 H40 O10
1544224,C4 H16 N8 O4
4001062,C34 F4 H20 O2
4020174,Br2 C30 H36 N2 O6
2204130,C24 Cl6 H14
4023085,C48 H28 S4
2202678,C38 H24 N4 O8
1516375,C28 H44 N8 O12
4026407,C38 Cl2 H38 N4 O4 S2
1505114,C18 F10 H6
2210951,C20 H16 O4
4020932,C24 H16 Se8
4114247,C36 H44 N4 Zn1
4502463,C35 H39 N3 O8
4020281,C34 H34 N2 O16
2222226,C32 H40 N8 O12
2209664,C34 Cl4 H28 O6
7150292,C48 H44 N4 O2
1504948,C64 H60 N4 O8
7215124,C60 H40 O8
7001656,B4 C24 H24 N8
2004094,C24 Cl2 H56 N2
2018306,C24 H16 O6 S2
4067707,C28 Cl12 F2 H28 N2 O2 Pt2 S2
1502975,C96 H32
7153038,Br2 C32 H32 N2 O10
2226071,C40 H32 N12 O16
2209780,C44 H40 N4 O8
7038911,As2 C48 H42 O4
7154804,C44 H36 O16
7210752,C22 H18 N6 O2
4022633,Br4 C40 F8 H48 N12 O12
2211174,C16 H48 N8 O16
2006135,C32 H48 O6
7154609,C64 H36 N12 O8
4072174,B40 C16 H60 N4 O4
9007519,C44 H40 O8 S4
1505509,Br2 C20 H20 O10 P2
7203481,C34 H20 N2 O8
4076911,C24 Ga2 H32 N2 O10 W2
4077787,C24 H68 N4 Sn4
2007153,C16 H12 N12 O16
4117594,C40 H44 N4 O8
2008381,C34 F8 H18 N2
7118331,C42 H46 N2 O14
1515617,C54 H40 O4
2103890,C18 H36 N4 O4
4505816,C8 H10 N2 O6
1543862,C20 H44 N4 O8
2222930,C28 H40 N24 O12
7206488,C32 H40 N12
7154331,C24 H32 N16 O8
1512367,C48 H38 I2 N4 O4
7154084,C56 Cl4 H52 O12
7036058,C52 H38 N6 O2
4071997,B4 C44 H36
4020603,C40 H36 N4 O16
1507617,C20 H32 O8
4028256,C68 H44 N4 O16
4075640,C30 H72 Ni2 O2 P4
7154922,C54 H52 I2 N2 O12
4505682,C24 H12 I4 N2
4020664,C24 H30 N2 O6
2212074,C36 Cl4 H56 N4
1540482,C38 H42 N2 O6
4325398,C36 H28 N4
7017744,C20 H20 N20
4075611,C44 H50 N8 O30 Pt2
2005354,C48 H32 O12
4107219,C40 F6 H50 O6
1506095,C32 H28 N12
2203109,C4 Cl8 H36 N20
2200227,C44 H44 N4 O20
4085650,C40 H52 Li2 O2 P2
2019898,C18 H26 N6 O8
4020276,C32 H32 Se16
2008366,C32 H36 N12 O16
7154766,C46 Cl2 H44 N2 O4 S2
1511805,C12 H32
4101841,C44 H40 O4
7208269,C14 H10 N2 O10
1520159,C24 Cl4 H24 N4
1517925,C38 H40 N4 O12
2221827,C40 H52 N4 O4
2218833,C36 H40 N8 O12
1516081,B2 C28 F4 H34 N8
2222407,C18 H18 N2 O6
2012991,C56 H48 O4
2205224,C12 H24 O4
7117624,C52 H40 N4 O8
4024035,C40 H68 N12 O8
7154938,C52 H52 N4 O8
2217771,C36 H28 N8
1517801,C38 H38 N2 O4
7216545,C22 H36 N16 O6
7218782,C46 H42 N2 O10
7003676,C30 H40 N8 O12
4075456,C32 H44 Mo4 O16 Si4
4069120,C44 Cl2 H50 N2 P2 Pd2
1513449,C32 Cu2 F2 H56 N2 P2
2006823,C28 H8 O12
4102673,Br2 C22 H18 O6
4335263,C4 H8 N16 O12
8101221,C20 H10 N4 O2
2228025,C32 H44 N4 O18
2007015,C10 H12 O8
7152830,Br2 C44 H48 N2 O4
4082698,B4 C44 Cr4 H48 N4 O12
7211302,C52 H44 N8 O4
2213149,C34 H34 N6 O8
2007914,C28 H32 N8 O6
7150365,C18 H30 N6 O2
7154908,C44 H44 N4 O12
2226811,C44 Cl4 H40 N4
4513000,C8 H20 N4 O8
2006748,C20 H12 N4 O4
2105586,C14 H16 O4 S2
4023913,C44 H40 N8 O8
4024218,C14 H6 I2 N8
2201928,C12 H12 N8 S4
7153163,C44 H48 N4 O12
2214780,C20 H32 O12
2206112,C32 H32 O12
1529280,C68 H52 N4
2203540,C22 H20 N4 O4
4086042,C44 H34 N2
4027840,C27 H48 O3
7207490,C12 Cl12 H20 O4
2232576,C32 H26 N6
4072693,C36 Cl8 H56 N12 Pd2
7204362,C30 H24 O6
2208349,C16 H16 O10
7152987,C26 H28 O10
7219929,C20 F4 H28 O16
2013641,C24 H56 O24
9016039,C4 H4 K4 O12
2105105,C12 H28 N4 O12
2223455,C20 H18 N2 O4
4501921,C22 H14 N2
1501866,C48 H44 O4 S2
4503650,C48 H36 N16 O2
2002075,C28 H16 O8
7213502,C36 H36 N12 O8
4077149,B28 C16 H48 Ru2
7217714,C14 H22 N8 O12
7212709,C12 H26 N2 O4
1542293,C48 H60 N4 O4
7102297,C44 H30 N10
1100661,C32 H34 N2 O4
4020047,C28 H36 O4
4116150,C8 H12 O8
1543147,C40 H56 O10
7218991,C42 H34 N2 O4
1520185,C40 H52 N4 O8
2100914,C28 H48 N4 O16
4081444,C42 H56 Ir2 O18 P2 Ru4
4122617,Br16 C24 H72 N8 O8 Pb4
2004882,C16 H16 N16
7053273,C28 H24 O16
2223716,C38 H38 N2 O26
2236498,C16 H18 N2 O6
1508793,C64 H52 N4 O8
2103891,C18 H36 N4 O4
7153254,C40 H52 N4 O16
4020820,C32 H48 N4 O16
7008343,C20 Ga4 H64 N12
2203943,C26 H34 N6 O2
7103365,C8 Cl12 H12
4109025,C40 H44 O6
2019482,C38 H38 N2 O6
4023570,C34 F6 H22 N8 O12
7154377,C44 H64 O4
1503261,C26 Cl4 H34 N1 O1 P1 Pd1
1512377,C44 Cl4 H36 O16
4023190,C60 H56 N8
4022041,Br8 C52 H52 N4 O4
2201329,C30 H60 Si6
2201974,C18 H26 N2 O10
7150130,C52 H52 N12 O8
7151179,C44 H64 O12
4308614,C40 H40 K8
7221735,C24 H26 N6 O2
2016306,C42 H40 N4 O6
2100385,C24 H20 N4 O12
2234992,C28 H28 N4 O4
4076603,C44 Cl4 H44 N8 O24 Pd4
2002019,C56 H48 O4
7155270,C28 H32 N8 O8
4028709,C10 H16 O5
2011562,C40 H36 O8
4103805,C2 H8 N16
4026401,C44 Cl4 H44 O12
2238090,C32 H42 N2 O10
7150089,C44 H58 N6 O10 S2
1518301,C36 F2 H32 N2 O4 S2
4028758,C42 H58 N2 O16 S2
7152227,B2 C40 F4 H32 N6
2234403,C16 H14 N2 O4
7212974,B12 C12 H60 N24
1508311,C40 H28 S4
1502101,C30 H40 O10
2011802,C26 H28 O10
7205148,C24 H34 N2 O12
2223751,C52 H44 N12 O4
4028530,C16 H23 N1 O8
4076329,C30 Cl2 H34 N8 O8 Ru2
4022177,C40 H24 N4 O12 W2
4310088,C44 H40 N12
1525589,C12 H48 N24 S12
4502295,C48 H32 N4 O8
4507995,C6 H8 O8
7054439,C16 H26 N2 O6
2224982,C36 H32 N8 O24
7053274,C28 H24 O16
7216972,C36 H32 N4 O2
4025693,C24 H32 O16 S4
2104411,C8 H8 O16 Sr4
2201159,Br20 C48 H36
7035975,B2 C48 F36 H18
2231622,C28 H52 N4 O20
7052198,C26 H46 N10 O18
2230263,C28 H32 O24
2216316,C26 H26 N2 O2
2007854,C32 H64
4023963,C36 H52 O4
2105817,C20 H20 N12 O4
4119011,Br4 C30 H40 O4
2239452,C48 H44 N8 O6
2206319,C26 H26 O8
2216893,C24 H28 N12 O4
1503434,C40 F2 H30 O8
4078602,C40 Ge2 H34 N2
7200699,C8 Cl8 H16 I8
4073512,C50 H72 N2 O2 Rh2
1519257,C40 H32 S8
4513320,C28 H20
7214795,C44 Cl4 H52 N8
4025583,C30 H48 N2 O8 P2
2010292,C20 H18 N2 O4
2235980,C34 H32 N4 O4
7219794,C52 F16 H28 N4
4504006,C40 H32 N4 O16
4072293,C22 Cl2 F6 H24 N4 O4 Ru2 S2
7034619,C10 H16 N8 O6
1503811,C32 H46 N2 O6
1520727,C56 F6 H46 N4 O6
4070132,Br2 C42 Cl4 H66 N4 O2
2211046,C32 H36 N12 O8
7152906,Br2 C44 H44 N2 O8
7206859,C44 H28 O8
2235213,C36 H44 N4 O20
7054487,C18 H32 N4 O6
4067483,C40 Cl8 Ge4 H60 N8
4508022,C16 H28 O8
4342362,C12 Cd4 H28 N4 O24
2100671,C4 H16 N4
2310958,C4 H20 N4 O10
7153151,C36 H32 N8 O8
1519975,C5 H11 N1 O6
4027838,C20 H40 P8 S24
2230380,C38 H42 N2 O8
2103888,C18 H36 N4 O4
2018812,C38 H32 O14
7220202,C40 H40 N24 O8
7219686,C30 H20 N4 O10
1520162,C24 H36 N4 O12
2014007,C16 H26 N2 O6
4024078,C44 H48
2011779,C7 H13 N1 O8
7150890,C36 H54 N2 O4
2229580,C52 Cl4 H36 O12
4509974,C40 H32 N16 S4
2102826,Br4 C56 H40 N12
1503403,C32 H34 N2 O12 S2
4071491,C30 Fe2 H36 Li2 N2
7113087,C44 H44 N12 O8
4510271,C40 H40 O20 Zn4
1515088,Ag4 C16 H20 N8
4074249,Bi2 C20 Cl4 H26 O4
4024925,C32 H50 N2 O6 S2
7212871,C40 H52 N4 O8
4070877,Br4 C16 H24 N10 O2 Re2
7153352,C36 Cl4 H48 N4 S4
2018173,C28 H52 N4 O24
4338983,C6 H12 O6 P4
7152291,C52 F8 H64 O12
2007670,C44 H48 N4 O12
2017140,C20 H36
4061207,C12 H22 Se2 Si2
1519496,Br1 C22 H20 N1
1507843,Br2 C36 H32 N2 O8
1514663,C60 F8 H40 O4
7007145,Ag2 C12 H8 N10
1503614,C32 Cl6 H50 N4 O10
7052830,C28 H40 N8 O4
2017595,C36 H24 N8 O4
7150644,C66 Cl4 Cu2 H52 N4 P2
1512325,C46 Cl6 H56 N10 O6 S2
2229637,C24 H22 I2 O8
2238741,C28 H36 N8
1543010,C28 H58 N2 O4 Si2
7052009,C12 H16 N4 O4
4084008,C30 Cl2 H46 N2 O6 Ru2
4075670,C44 F24 H4 Hg6 O6
7151614,C46 F4 H38 N6 O4
2219569,C26 H34 N14 O2
4077677,C36 H40 Se10 W2
4072652,C36 Cl4 H76 P4 Pt2
4029508,C50 H44 N4 O12 S2
1508923,C20 H28 O6
7150289,C18 H24 Se2
4110435,C28 H16 Se4
4023480,C52 H28 N4 S12
2214769,C44 H44 N12 O12
4067543,C40 H52 N4 Se2 Zn2
4027729,C72 Cl8 H46 N10
7118284,C4 H4 N8 O24
7029718,C36 H24 Hg2 N4
4117035,C32 H12 N20 O40
7210539,Br2 C20 H18 O4
4077077,C28 Fe4 H24 N4 O12
4030976,C50 H38 O4 P2
4026467,C30 H38 N2 O6
7054717,C8 H8 O4
2230021,C52 H48 N4 O4
2017244,C28 H28 O4 Se4
2237964,C30 H50 N6 O6
7200313,C44 H60 O6
2101959,C44 H44 N4 O8
7118017,B2 C58 H46 N4
8101969,C46 H54 N2 O8
7109153,C28 Cl2 H22 N2
4082178,C38 H30 O12 P2 S2 W2
1529473,C56 H58 N10 O8
7152382,C40 H60 N4 O24
2210061,C52 H40 N8 O8
2011649,C24 H40 O24
1516763,C48 H44 N4 O8 S4
4509150,C40 H38 N2 O6
2218813,C30 H24 N4 O2
4312212,Br16 C16 H64 N8 O8 Pb4
2217760,C24 H28 N4 O2
2007982,C28 Cl4 H24 N4
4024510,C32 H26 I2 O2 Se2
1502962,Br2 C24 H42 N2 S2 Si2
4084692,C50 H42 N4 S2
7214425,C32 H76 N4
4022460,C58 H56 O2
1506365,C16 H16 N6 O12
1541800,C20 Cu8 H32 N16
4071000,C40 H48 O4 Ru2 Si4
4108581,C20 H36 O4
1506009,C28 H46 N10 O6
4031958,C64 H56 N8
2215154,C40 F4 H28 O6
4063769,C30 H66 N6 O6 Si6
7220702,C46 H36 N4 O4
4501793,C18 H30 N2 O16
4020009,C56 H56 N8 O4
1518906,C68 H36 O4
2015376,C32 H20 N4 O4
2009826,C8 H28 N12 O12
4067243,C46 Cl4 H60 N4 O4 Pt2 S2
2010839,C52 H32 S16
7150711,C20 H48 N4 O8 P4 Se4
1543061,C8 H24 Zn4
4065630,Br4 C50 H56 N8 Pd2
7052197,C14 H26 N6 O6
1507189,C62 H50 N2 O4 S2
2012082,C36 H44 O8
1518943,C36 H60 O10 Si2
2236213,C52 H36 N4 O12
1507257,C26 H44 O12
4114134,C52 H40 N16
4501204,C30 H20 O4
2300573,C44 H40 O8 S4
1505207,C24 H24 N12 O16
7106604,C54 H50 N2 O4
1503550,C24 Cl2 H34 O6
4313493,Ag4 C56 H32 N20
4062543,Br2 C30 H38 O2 Ti2
2105111,C12 H28 N4 O12
4103544,C42 H52 N2 Si2
2014232,C8 H12 O8 Pd2
2013013,C20 H18 N2 O8
2222158,C12 H8 N4 O4
4026914,C52 F12 H40 N12 O8
1513752,C24 H27 N1 O6
1507847,C64 H48 O12
4031960,C42 H46 N2 O2
2205490,C8 Cd1 H14 O12
2221391,C14 H12 N4 S2
4078424,C28 H46 Mg2 N2 O2
2217606,C28 F8 H16 O8
1503103,C48 F6 H46 O2
4028004,Br2 C56 Cl4 H54 O16
7154306,C32 H24 N4 O2 S2
1505203,C36 H28 N8 O4
7152620,C44 H28 O12
4064894,C34 Fe4 H26 N2 O16 S4
2219736,C20 H30 N2 O8
7015873,C18 Cl8 H28
7206434,C28 H20 N8
2219309,C18 H36 N8 O8
1512588,C40 Cl2 H70 P4 Pd2
1511933,Br2 C42 H42 O2
2204619,C44 H20 N8 O4
7152414,C40 H42 N12 O1 S2
7153607,C48 H42 N2 O6 S2
1514245,C24 F12 H4 N16
7226160,C56 H44 I4 O8
1513447,C32 H36 N4 O6
7107011,C22 H26 N2 O6
2105246,C24 H38 N2 O16
4079767,B20 C28 H42 P2
1507325,C40 H64 O12
4512707,C36 F4 H12 N4
2234878,C12 H18 N10 O8
7150719,C42 H44 O4
1507302,C58 H62 N2 O12 S2
4083950,Br2 C28 Cr2 H26 N4 O6
1506088,C28 H16 N16 O4
4066750,C44 Co4 H76 O8 P4
4025238,C20 H26 N2 O8
4116822,C24 F12 H12
7201832,C40 H40 N16 O4
2012509,C44 H48 O12
2004632,C26 H44 O10
4076719,C48 H44 Mo2 N4 O14
2217464,Br4 C20 H34 N6
1502276,Br4 C52 H56 N4 O12
4025877,C22 H22 N14 O2 S2
1501685,C4 Cl2 H16 N2
7151882,C32 H20 I8 N12
2015894,C32 H28 N2 S4
4020464,C40 F8 H52 N12 O4
1519569,C30 H40 O10 S2
7225200,C22 H24 O8
7224034,C26 H32 N8 O6
4029563,C50 H76 O6 S2
2229083,C30 H28 N4 O4
1506838,C14 H16 N4 O16
2106750,C4 H16 N8 S4
2239734,C42 H44 N4 O16
4504086,C12 H20 N4 O4
2217820,C50 H32 O2
4029244,C52 H42 N6 O4
4026074,C64 H52 N4 O8
7103354,C34 Cu4 F20 H8
4029824,C52 H44 N4 O8
2003412,C40 H36
7103946,Al4 C32 F20 H24
4069583,Br2 C38 Cl2 H54 N2 Pd2
2104165,C20 H40 N8 O12
2241138,C52 H56 N4
2201876,C20 H32 N4 O24
4020752,C20 H12 Se4
7154599,C28 H22 I2 N4 S2
2209718,C20 H48 N12 O16
7204769,C28 F10 H10
4028814,C28 Cl2 H20 N2 O4
4071778,C46 H50 N2 O6 Si2
2227127,C42 H60 O6
2015857,C18 H22 N6 O4
4505817,C12 H12 N2 O8
7105644,C28 H22 N2 O2
2004605,C56 Cl8 H32
2213115,C24 H52 N4 O8
7103003,C26 H26 S2
2221709,C36 H36 N12 S4
1508159,Br2 C18 H28 O2
2210704,C40 H36 N4 O12
4071183,C24 H32 N24
4027596,C64 H48 N8
4020314,C48 H44 N4 O12
4072764,C41 Fe1 H35 N1 P2
4504371,C16 H24 Mg4 O28
7203480,C56 H36 N4 O16
4020016,C48 H40 N8 O24
1507393,C21 H24 O8 S2
7200244,C40 H36 N12
1515094,Ag4 C16 H20 N8
2239460,C16 H32 N8
2013200,C24 H32 N16 O16
2226629,C32 Cl4 H48 N4
1501963,C24 H35 I2 N1 O5
7153434,C36 H70 N2 O4
7151002,C44 Cl4 H44 O20 S4
7054723,C8 H8 O4
2230283,C32 H28 N12 O8
4081467,C36 Fe4 H24 O14 S2
1540378,C38 H48 N4 O12 S2
2006750,C32 H48 O8
4320726,B20 C18 H50
7204156,C36 H68 O8
7117584,C36 H48 N4 O4
1504534,B2 C52 F4 H38 N4 O6
4022791,C44 H44 N4 O8 S4
4104523,C60 F18 H32 N2
1529421,C26 H36 O8
7151830,C34 H34 N2 O4 S2
1520189,C40 H52 N4 O8
4513126,C46 H50 N2 O8
2233794,C36 H48 N8 O20
7211140,C42 H32 N4 O14
2201557,C16 H24 O16 Si2
2201135,Br2 C24 H18 N4
2219120,C24 Cl8 H36 N4
4027327,C52 H68 N4 O12
2239532,C38 H36 N8 O8
2227450,C22 H32 O16
1507172,C60 H34 N2 O4
4075824,B32 C32 Fe4 H64
4113695,C10 Cl2 H10 O8
2202869,C24 Cl12 H8 I4
2215317,C8 H16 N4 O6
7154493,C24 H52 N4 O24 S4
2003405,C42 H54 N2 Si6
2211006,C36 H44 N4 O8
4504544,C40 H52 N8 O4
2225586,C36 H40 N24
2016191,C28 H36 N4 O8
7153207,Br2 C46 H52 N6 O8
2100171,C12 H20 N4 O4
4022704,C44 Fe2 H54 N2 Si2
7117575,C30 H28 N4
7022013,C12 H12 N2 Te2
4070239,C22 Fe4 H16 O14 Te4
4081966,C48 H28 O4 P4
8101994,C22 H46 N24 O16
4343841,C8 H16 N16 O16
1516002,C42 H44 N4 O6
2013148,C20 H28 O6
4069973,Br4 C40 H30 N2 O2
7050362,C34 H30 N2 O4
4063241,C40 H64 I8 N16
7225354,C28 H18 N6
2200618,C36 H24 O4 S4
7208860,C24 H20 N6 O2
4026573,Br2 C38 H32 N2 O6
7029303,B20 C24 Co4 H44
4505805,C6 H14 O8 S2
1507517,C46 H74 N2 O10 S2 Si2
1502093,C40 H46 N2 O4
4027732,C44 Cl2 H48 N6 O8
4028486,C56 H44 N4 O12
4301580,C20 H24 O4 S8
2225295,C20 H22 N2 O8
4031287,C32 Cl4 H36 N16 O12
4114902,B18 C4 H32 N2
1542420,C64 H50 N2
4020382,C26 H30 N2 O6
4021213,Br2 C36 H48 N2 O8 S2
1508631,C40 H42 N2 O4 S2
2005509,C60 Fe4 H48
4501762,C20 H20 N12 O4
7118019,B2 C42 H50 N4
2233150,C18 Cl4 H24 N8
7154337,C32 H28 N4 O4
4061354,C56 H68 N6 Ni1 O2
8103228,C14 H22 N6 O2
7152739,C40 H28 N4 O2
4505843,C14 Co2 H26 N12
7108670,C44 H48 O20
4068117,Br4 C28 Cr4 H24 O20 Sb4
1507816,C60 H40 N8
4024681,Br2 C62 H54 N8 Zn2
4025480,C56 H40 O8
2101269,C40 H40
4067488,C48 Cl2 H42 Mo2 N4 O4
7050147,C28 H56 O8
1504396,Br6 C2 H2
2103285,C44 H46 N10 O8
4079818,C38 Cl2 H36 N8 O8 Re2
1501886,C58 H44 N8 O10 S4
1502353,C20 F12 H6 O12 S4
4063914,C22 Cl2 H38 O8 P2 Pt1
4030962,Br2 C38 Cl2 H34 N2 O6
4023681,C32 Cl2 H28 N2 O8
2219970,Br2 C12 H32 N2
7100618,C21 H40 N8 O11
2103904,C20 H40 N4 O4
2016352,C44 H48 N16 O4
4080783,C22 H22 N4
2214481,C32 H22 N2 O4
2003728,C16 H12 N4 O4
7208834,C16 H36 N8 O12
4107020,C30 H34 N2 O2
2213026,C30 H28 N4 O4
2208440,C36 H50 N2 O20
7106099,C34 H42 N2 O6
7152455,C28 Cl4 H36 O12
7002371,Al2 C16 H40 N6
2207714,C24 H40 O20
7150256,C48 H56 N8 O4 S4
7226227,C34 H32 O16
7219795,C52 F16 H28 N4
4030612,Br2 C22 H34 N4 O4
4077151,B28 C16 H48 Os2
7152593,C46 H70 O6 Si2
4024030,C48 H52 N12 O12
7151503,C44 H64 O8 Si2
1511810,C8 H20
4068068,C36 H46 N2 O10 W2
2238620,C18 F10 H6 O4
4504543,C36 H44 N8 O4
2207550,C22 H32 Na2 O16
4116829,C16 H16 N16 O8
2201433,C36 H44 N4 O8
1540616,C30 H32 O10
4028160,C28 H32 O12
4025699,C48 H60 N20 O4
2011525,C64 H48
1517074,C46 H40
4027337,C52 H44 O4
4025857,C64 F8 H44 N4 O16
2003736,Ag8 C16 H8 O16
2107117,C4 H24 N16 O4
2015153,C26 H42 N10 O8
1502326,C34 H28 O16
4077297,C14 Cl2 H26 O2 Pd2 S2
2201569,C22 H30 N2 O2
1506771,C26 H30 N2 O8
4063169,C22 H24 N2 O10 P2
1518439,C24 H48 O24
2001650,C60 H42 O6
4022632,C20 F4 H20 N4 O8
4078907,C32 H30 N6 O4 S2
2221585,C28 H32 N8 O16
7119153,C8 Cd4 H24
2104161,C20 H40 N8 O12
4066473,C36 H52 I8 Sb4
1504238,C56 H44 N4 O12
4072069,C44 H56 O12 S2 W2
4024043,C34 H42 N2 O16 S2
4124403,C30 H44 O10
4076627,C40 Co8 H20 O26
2203815,C52 H28 N12 O4
4510539,C14 H18 N6 O4
2228621,Br2 C26 H18 N4
1517483,C40 H52 N4 O10
1517787,C42 H42 N2 O4
1506277,C32 Cl8 H40 O2
4507991,C4 H4 O8
7030435,C24 F2 H14 O6
4074843,B2 C22 H30 O6
1508629,C60 H44 N12 O4
7154747,C28 F12 H48 N4 O4
4064236,C60 Cl4 H52 N12 Pd2
7217125,C44 H48 N8 O8
1512630,C32 H44 N4 Se8
4500134,C45 H48 N6 O6
1519318,C32 H32 N8 O8
2203172,C20 H24 O8 S2
7151843,Br2 C34 H42 O2
4507897,C46 H32 N8 O2
7117379,C38 H36 O4
4512806,C30 H28 O4
7216064,C16 H20 N4 O16
4062099,C40 H72 P8 Pb4
2007884,C32 Cl8 H8 O12
7031555,C12 H36 I16 N4 Pb6
4061201,C48 Cl4 H68 O4 Pd4
7010761,C8 H18 I4 Si2
