formula,name
C28 Cd2 H28 N4 O10,ABZCUH01_FSR_macro
C28 Cd2 H28 N4 O10,ABZCUH05_FSR_macro
C20 Cu2 H16 I2 N4 S4,ACAFIT_FSR_macro
C20 Cu2 H16 I2 N4 S4,ACAFOZ_FSR_macro
C92 Cu8 H104 N8 O32,ACAJOF_FSR_macro
C48 Cl8 Cu4 H40 N8 O24,ACAKEX_FSR_macro
Ag8 C112 H104 N16 O16,ACATAB_FSR_macro
Ag2 C36 H38 N4 O8,ACATIJ_FSR_macro
Ag4 Br4 C8 H32 N8,ACAZAG_FSR_macro
C22 Cd2 Cl4 H20 N8,ACEGIA_FSR_macro
C22 Cd2 Cl4 H20 N8,ACEGOG_FSR_macro
C36 Cd2 H30 N10 O10,ACEKIE_FSR_macro
C36 Cd2 H30 N10 O10,ACEKOK_FSR_macro
C76 H80 N8 O40 Zn12,ACENIF_FSR_macro
C10 Co1 H20 O12 S4,ACETCO_FSR_macro
C20 Cu4 H28 I4 N8,ACIGAX_FSR_macro
C40 Cu4 H56 I4 N16,ACIGEB_FSR_macro
C40 Cu2 H32 N12 O12,ACIJAX_FSR_macro
C26 H40 N8 O18 S4 Zn2,ACIKAA_FSR_macro
C24 Cu1 H32 N12 Pd1,ACIPEJ_FSR_macro
C22 Cd2 H22 N8 S4,ACIRIP_FSR_macro
Ag2 C36 H44 N10 O6,ACIROV_FSR_macro
C56 Cl8 Cu4 H56 N16,ACISEM_FSR_macro
C36 Cl4 Cu2 H44 N8,ACISIQ_FSR_macro
C40 H44 N12 S4 Zn2,ACISOW_FSR_macro
C36 Cu2 H44 I2 N8,ACITAK_FSR_macro
C36 Cl4 H28 Hg2 N8 O4,ACIWUF_FSR_macro
C36 Cl4 H28 Hg2 N8 O4,ACIXAM_FSR_macro
C24 H16 I4 K4 O20 S4,ACIZIX_FSR_macro
C12 Fe2 H8 N8,ACODAA_FSR_macro
C40 Cd2 H36 N8 O10,ACOHAE_FSR_macro
Ag2 C20 F6 H24 N4 O4,ACOHEF_FSR_macro
C16 H14 Mn2 N2 O10,ACOHUW01_FSR_macro
C44 H38 N10 O8 Zn2,ACOLIP_FSR_macro
C128 Cd6 H100 N8 O38,ACOLUB_FSR_macro
C40 Cl8 H44 Hg4 N4 O8,ACOMOX_FSR_macro
C8 Co2 H8 O12,ACOVEU_FSR_macro
C40 H32 N8 O12 Zn2,ACOYEY_FSR_macro
C12 Cl8 Cu8 H12 N4,ACRNCU_FSR_macro
C48 Cd4 H32 N8 O16,ACUBOP01_FSR_macro
C48 Cd4 H32 N8 O16,ACUBOP_FSR_macro
Br4 C24 Cd2 H24 N4,ACUFEL_FSR_macro
C20 H20 N8 Na4 O20,ACUFIO01_FSR_macro
C20 H14 K2 N8 O16,ACUFOU_FSR_macro
C12 H20 N4 Na4 O20 S4 Zn2,ACUFOV_FSR_macro
C10 H7 N4 O8 Rb1,ACUFUA_FSR_macro
Ag4 C40 H24 N4 O8,ACUFUB_FSR_macro
C20 H20 N8 O20 Rb4,ACUGAH_FSR_macro
C10 Cs1 H11 N4 O10,ACUGEL_FSR_macro
C148 Cd8 H128 N20 O44,ACURUO_FSR_macro
C34 Cu4 H28 N20 O8,ADABAK_FSR_macro
C36 Cu4 H28 N20 O12,ADABEO_FSR_macro
C34 Cu4 H28 N20 O8,ADABUE_FSR_macro
C20 Ca4 H24 N8 O24,ADACUE01_FSR_macro
C20 Ca4 H24 N8 O24,ADACUE_FSR_macro
C14 H16 N14 Ni1 O2,ADADEP_FSR_macro
C12 H14 N4 Na2 O12,ADAPAX_FSR_macro
Ag2 C28 F4 H24 N10 O10,ADAQII_FSR_macro
C32 H44 Nd4 O44 S4,ADAVEJ01_FSR_macro
C34 Cu1 H32 N8 O14,ADAXOV_FSR_macro
C18 H18 Mn1 N6 Ni1 O2,ADEGAU_FSR_macro
C30 Gd2 H30 N2 O16,ADEGIA01_FSR_macro
C64 H48 N8 O16 Zn4,ADETEL_FSR_macro
C12 H20 N16 O16 Zn6,ADEZUH_FSR_macro
Ag2 C18 H20 N2 O4,ADILIJ01_FSR_macro
C22 H20 N6 O18 Sm2,ADINOT_FSR_macro
C22 H14 N6 O16 Y2,ADIPAH_FSR_macro
C32 Cu2 H24 N4 O8,ADIQAH_FSR_macro
C32 Co2 H24 N4 O8,ADIQEL_FSR_macro
C28 H28 Mn4 N32,ADIQIP_FSR_macro
C12 H32 Ni2 O16,ADIQNI01_FSR_macro
Br4 C52 Cd2 H40 N4 O8,ADIVUG_FSR_macro
C40 H36 N20 O16 Zn4,ADIZUJ_FSR_macro
C52 H40 La2 O19,ADODII_FSR_macro
C52 Eu2 H40 O19,ADODOO_FSR_macro
C52 H40 O19 Tb2,ADODUU_FSR_macro
C20 Cl12 H12 Hg2 N4,ADOJEJ_FSR_macro
Br8 C20 Cl4 H12 Hg2 N4,ADOJIN_FSR_macro
C28 Cl4 H36 Hg2 N4,ADOJOT_FSR_macro
C28 Cl16 H36 Hg8 N4,ADOJUZ_FSR_macro
Br8 C20 Cl8 H12 Hg4 N4,ADOKAG_FSR_macro
Br12 C20 H12 Hg2 N4,ADOKEK_FSR_macro
C20 Cl8 H12 Hg4 I8 N4,ADOKOU_FSR_macro
Br8 C20 H12 Hg4 I8 N4,ADOKUA_FSR_macro
C28 H36 Hg4 I8 N4,ADOLAH_FSR_macro
C42 Cd2 H26 N4 O12,ADOPAN_FSR_macro
C12 Cu2 H16 N20,ADOQOC_FSR_macro
C12 H10 La2 O18 S4,ADOXUP_FSR_macro
C168 Cu20 H128 I16 N28 O64 Pr8,ADULIX_FSR_macro
Br2 C12 Cu2 H12 N14,ADUPOH_FSR_macro
C16 Cl8 H24 N32 Zn8,ADUTID03_FSR_macro
C56 Cl8 Co4 H56 N16,ADUVAX_FSR_macro
Br4 C10 Cd2 H18 N2 O6,AFADOD_FSR_macro
C56 H46 Mg3 O2,AFAHEW_FSR_macro
C32 Dy2 H22 N4 O20,AFAKIE_FSR_macro
Ag4 Br4 C20 H32 N8,AFAVOU_FSR_macro
C16 Cd4 H36 N4 O24,AFAVUA_FSR_macro
Ag4 C32 Cu2 H28 N12,AFAWAF_FSR_macro
C56 H48 N8 O20 Zn4,AFEBAQ_FSR_macro
C124 H80 N12 O40 Zn8,AFECIY01_FSR_macro
C58 H44 N4 O18 Zn2,AFECUM_FSR_macro
C54 Er2 H44 N14 O28 S4,AFEDAR_FSR_macro
C28 Cl4 H20 O10 Zn2,AFEGAV_FSR_macro
C40 H52 K2 N2 O8,AFEHAV_FSR_macro
C36 Cl4 Cu4 H32 N16 S8,AFELIH_FSR_macro
C40 Cu6 H40 N4 O26,AFENUX_FSR_macro
C48 Cd4 H40 N16 S8,AFEYAL02_FSR_macro
C36 Cd3 H30 N12 S6,AFEYAL03_FSR_macro
C24 Cu6 F12 H16 N8 O24,AFEYOC_FSR_macro
Ag8 C44 F12 H24 N12 O16,AFEYUI_FSR_macro
Ag3 C45 H42 N3 S6,AFICAU_FSR_macro
C16 Cd4 H16 O24,AFIPUB_FSR_macro
C52 H32 N4 O8 Zn2,AFITEP_FSR_macro
C138 H96 N6 O24 Zn6,AFITIT_FSR_macro
C32 H32 N8 O14 Zn2,AFIVIX_FSR_macro
C48 Cd4 H24 O16,AFOHOT_FSR_macro
C20 H10 Nd2 O18,AFOJEK01_FSR_macro
C20 Gd2 H6 O16,AFOJIO_FSR_macro
C18 H16 N4 O8 S2 Zn1,AFOKOW_FSR_macro
C18 Cd1 H16 N4 O8 S2,AFOKUC_FSR_macro
C30 H34 Mn1 N6 O12 S2,AFOLIR_FSR_macro
C8 Cd4 H24 O24,AFORCD_FSR_macro
C76 H80 N16 O16 Zn4,AFOROD_FSR_macro
C48 H52 N4 O20 Zn4,AFOSIY_FSR_macro
C44 H28 O16 Sm2,AFOTUL_FSR_macro
C44 H28 La2 O16,AFOVAT_FSR_macro
C44 Ce2 H28 O16,AFOVEX_FSR_macro
C44 H28 Nd2 O16,AFOVOH_FSR_macro
C24 Cu4 H24 I4 N4 S2,AFUDUA_FSR_macro
C40 Cd2 H32 N8 O16 S4,AFUJOA_FSR_macro
C128 H100 Mn6 N8 O38,AFUKAP_FSR_macro
C14 Cd2 H18 N2 O14,AFUKIW_FSR_macro
C8 Co2 H20 O16,AFUMCO04_FSR_macro
C36 Cu2 H26 N6 O8,AFUQIB_FSR_macro
C24 Er4 H32 N4 O28,AFUQUN_FSR_macro
C64 H48 N8 O28 Zn4,AFUWIK_FSR_macro
C60 H50 N2 O8 Sn2,AFUXAC_FSR_macro
Ba2 C12 H30 O26 P6,AFUYAE_FSR_macro
C24 H16 N4 Na2 O16 P2,AGACIW01_FSR_macro
C24 H56 Mg4 O44,AGALUR_FSR_macro
C10 H34 Li2 N2 O16 P4,AGAMED_FSR_macro
Ag4 C36 H32 N28 O12,AGARAC_FSR_macro
C22 Cl4 Cu2 H18 N2 O10,AGAWOU_FSR_macro
C8 Ga2 H6 O10,AGEDIC_FSR_macro
C14 Cd1 H16 N10 O6,AGEWOZ_FSR_macro
Br6 C24 H24 N4 O4 Pb3,AGEZUJ_FSR_macro
C22 Cd2 H44 N12 O18,AGIFIH_FSR_macro
Ag4 C24 H24 N2 O18 S2,AGIJAD_FSR_macro
C40 Cu4 H64 N8 O16,AGIJUW_FSR_macro
C20 Cu2 H32 N4 O8,AGIKAD_FSR_macro
C30 H54 Li4 N18 S2,AGIMIN_FSR_macro
C80 H80 Mn16 N80 O40,AGIMIO_FSR_macro
C8 Cl4 H24 Mn6 N40 O4,AGIMOU_FSR_macro
Ag4 C24 H28 N8 O8,AGMTHY_FSR_macro
C30 H22 I2 N8 O8 Zn2,AGOJOX_FSR_macro
C36 H46 Li2 N6,AGONIT_FSR_macro
C80 Cu2 H84 N24 O8,AGOSOE_FSR_macro
C22 H28 N2 Na2 O18 Zn2,AGOWID_FSR_macro
C96 H144 N24 Ni4 O16,AGOWUO_FSR_macro
C24 Cu2 H20 O12,AGOXAX_FSR_macro
C64 Cd4 H40 N8 O16 S4,AGOZED01_FSR_macro
C128 Cd8 H80 N16 O32 S8,AGOZED_FSR_macro
Ag2 C20 H20 N6 O6,AGPYNO01_FSR_macro
Ag4 C8 H16 O12 S4,AGSLFB_FSR_macro
C38 Cd2 H26 N6 O10,AGUBEK_FSR_macro
C32 Cu6 H32 N4 O24,AGULIY_FSR_macro
C32 Cu4 H28 N4 O20,AGULOE_FSR_macro
C32 Cl2 Cu6 H32 Mo8 N16 O26,AGUMUL_FSR_macro
C18 H24 Li6 N26 O12,AGUSUR_FSR_macro
Br8 C16 Cd2 Cu2 H28 N24 O6,AGUTEC_FSR_macro
C28 Cl4 H4 K4 N4 O16,AGUWEG01_FSR_macro
C46 Cu4 H36 Mo8 N12 O26,AGUYEG_FSR_macro
C6 Cd1 H4 N4 Se2,AHADUI_FSR_macro
C72 Co4 H68 N16 O16,AHADUJ_FSR_macro
C72 Co4 H68 N16 O16,AHAFAR_FSR_macro
C144 Co8 H136 N32 O32,AHAFEV_FSR_macro
C56 Cd2 F8 H48 N28 O4 S4,AHAHIB_FSR_macro
C28 Cd4 Cl8 H32 N16,AHAJUP_FSR_macro
C28 Cl8 H32 N16 Pb4,AHAKAW_FSR_macro
C28 H32 La4 N4 O32,AHALEB02_FSR_macro
Ag2 C32 H14 N8 O8,AHAMIG_FSR_macro
C12 H16 N10 Na2 O4,AHANAZ_FSR_macro
C40 Cd4 H40 N16 O20,AHAVOV_FSR_macro
C42 H36 N4 O12 Zn2,AHAWIQ_FSR_macro
C38 Cu2 H32 N20 Ni2 O4,AHAWUC_FSR_macro
C40 H60 Mn2 N16 O24 V8,AHAXOX_FSR_macro
C32 H20 Hg4 N20 S8,AHAYAK_FSR_macro
Ag2 C42 H68 N2 O6 S8,AHEBOE_FSR_macro
Br2 C8 Cu3 H14 O12,AHEGIF_FSR_macro
C96 H72 Mg4 N16 Ni4 O36,AHELAC_FSR_macro
C24 H12 Li4 O8,AHEMOQ_FSR_macro
Br6 C50 Fe2 H54 Na2 O6 P2 S2 Zn2,AHEPAG_FSR_macro
C50 Fe2 H54 I6 Na2 O6 P2 S2 Zn2,AHEPEK_FSR_macro
Br6 C50 Fe2 H54 K2 O6 P2 S2 Zn2,AHERUC_FSR_macro
C16 H16 O24 Pb4,AHIJOQ01_FSR_macro
C112 H104 N24 O16 Zn4,AHINIP_FSR_macro
C46 H34 N4 Na2 O18 Zn2,AHISAN_FSR_macro
C44 H28 Na4 O32 Zn4,AHISER_FSR_macro
C96 H80 O64 Pr8,AHISUI_FSR_macro
C96 H80 Nd8 O64,AHITAP_FSR_macro
C96 Gd8 H80 O64,AHITET_FSR_macro
C28 Cd4 H28 N20 O8,AHIZUN_FSR_macro
C28 H24 Mn4 N16 O8,AHOBAB_FSR_macro
C42 H28 Ho2 N12 S4,AHOJOX_FSR_macro
C42 H28 N12 S4 Yb2,AHOKAK_FSR_macro
C52 H36 N12 O16 Zn4,AHOMOB01_FSR_macro
C28 Ca4 H32 N8 O36,AHONUG_FSR_macro
C16 Cl3 Cu2 H8 N4 S4 Se4,AHOVID_FSR_macro
Br4 C26 H28 N4 Pb2,AHUHIV_FSR_macro
C24 Cu4 H20 N8 O8,AHUVOP_FSR_macro
C16 Dy2 H24 N2 O26 S2,AHUXAD_FSR_macro
C24 Cu2 H48 N4 O8,AHXCUD10_FSR_macro
C48 Cu6 H72 N18,AJABIX01_FSR_macro
C42 Cu6 H60 N18 O12,AJABOD_FSR_macro
Bi4 Br12 C54 H48 S6,AJAHAV_FSR_macro
Bi4 Br12 C34 H30 S4,AJAHEZ_FSR_macro
C12 Cl4 H16 N24 Na4 O8,AJAQUY_FSR_macro
C18 H24 K6 N54 O12,AJASIO_FSR_macro
C32 H24 Mg4 O20,AJAXOY_FSR_macro
C104 H104 N16 Ni4 O32,AJEKIL_FSR_macro
C10 Co1 H14 N8 O2,AJESAJ02_FSR_macro
C10 Co1 H14 N8 O2,AJESAJ_FSR_macro
C36 H24 N4 Ni2 O8,AJEWUH_FSR_macro
C10 Cd1 H14 N8 O2,AJIFAB_FSR_macro
C30 Er2 H32 O22,AJIFEF_FSR_macro
C16 Cd4 H24 O22,AJIFIJ_FSR_macro
C16 H32 N4 O12 Zn2,AJIGIK_FSR_macro
C18 H16 N4 O12 Sr2,AJIHUX_FSR_macro
C32 Cd4 H28 N4 O20,AJIJEI01_FSR_macro
C32 Cd4 H28 N4 O20,AJIJEI_FSR_macro
C28 H28 N16 Ni2 O8,AJIJIN_FSR_macro
C20 H44 N4 Ni4 O28 S4,AJILIP_FSR_macro
C16 H20 N20 O8 Zn4,AJIMEN_FSR_macro
C56 Gd4 H48 N4 O32,AJIPIT_FSR_macro
Ag8 C24 H20 N20 S8,AJIPUF_FSR_macro
C52 Co2 H40 N8 O14,AJIQER_FSR_macro
C28 Cd2 H20 N4 O10,AJIQIU_FSR_macro
C30 Cu1 H26 N4 O4,AJIRAM01_FSR_macro
C36 H36 N4 O8 S2 Zn2,AJOFAI_FSR_macro
C28 H36 N4 O10 Zn2,AJOSUN01_FSR_macro
C114 Cd12 F36 H48 O54,AJOVEB_FSR_macro
Ag2 C48 H34 N4 O8,AJUKOH_FSR_macro
C192 Cd8 H112 N32 O32 S8,AJUNOK_FSR_macro
C8 Cd2 H20 N12 O16 P4,AKAGIE_FSR_macro
C24 Cl4 Cu4 H32 N8,AKAPUX_FSR_macro
C24 Cl6 Cu6 H32 N8,AKAQAE_FSR_macro
C24 Cl8 Cu8 H32 N8,AKAQEI_FSR_macro
C22 Co2 H18 N8 O8,AKAREJ01_FSR_macro
C36 H24 N4 Ni2 O8,AKAROT01_FSR_macro
C36 H24 N4 Ni2 O8,AKAROT_FSR_macro
C96 Cu8 H60 I8 N12 O24,AKAXOA_FSR_macro
C48 Cu4 H30 I4 N6 O12,AKAYER_FSR_macro
Br8 C192 Cu8 H120 N24 O48,AKAYIV_FSR_macro
C48 H32 N8 O8 Zn2,AKAZOD_FSR_macro
Ag4 C52 H60 N12 O12,AKEBUP_FSR_macro
Ag4 C52 H60 N12 O12,AKECAW_FSR_macro
Ag4 C52 Cl4 H60 N8 O16,AKECOK_FSR_macro
Ag2 C12 H8 N6 O6,AKEGIH_FSR_macro
C20 H16 Mn2 O12,AKEGON_FSR_macro
C20 H16 O12 Zn2,AKEGUT_FSR_macro
Ag2 C20 H16 N6 O6,AKESIS_FSR_macro
Au2 C56 Cl20 H56 N4 O8 Tl2,AKINIS_FSR_macro
C32 Co2 H28 N4 O10,AKIQIU01_FSR_macro
C40 Cd1 H36 N10 O10,AKIZAX_FSR_macro
C42 Cd1 H36 N10 O4 S2,AKIZEB_FSR_macro
C18 Gd4 H36 O36,AKUHOD01_FSR_macro
C32 Co2 H32 N8 O8,AKUWIO_FSR_macro
Br2 C28 Cd3 Cl4 H40 N4 O4,AKUWOU_FSR_macro
C36 Cd4 H64 N8 O8 S16,ALAGIF_FSR_macro
C40 Cu4 H28 N28 O4,ALAJEE_FSR_macro
C12 Ca2 H12 O12,ALATAK_FSR_macro
Ag8 C32 H40 N16 O16,ALEQIS_FSR_macro
C34 Cu2 H24 N4 O14 P2 V2,ALIDAB_FSR_macro
C38 Cu2 F2 H24 N4 O18 P2 V4,ALIDIJ_FSR_macro
C24 H24 N16 Ni4,ALIDUU_FSR_macro
C34 Cu3 H24 N4 O10 P2,ALIDUV01_FSR_macro
C24 Cl4 Cu4 H40 N4 O2,ALIFOR01_FSR_macro
C82 Cl4 H66 Hg2 N6 O12,ALIFOS_FSR_macro
C68 H52 Li4 N16,ALIGOS_FSR_macro
C26 H22 Li2 N8,ALIHIN_FSR_macro
C44 H40 Li4 N16,ALIJAH_FSR_macro
C60 H32 N4 O32 Zn4,ALILIS_FSR_macro
C64 H36 N4 O32 Zn4,ALILOY_FSR_macro
C44 H32 N4 O18 Zn4,ALILUE_FSR_macro
C46 H36 N4 O16 Zn2,ALIMAL_FSR_macro
C28 Cd4 H36 N28 O4,ALIMEP_FSR_macro
C36 Cd4 H36 N12 O4 S8,ALIMIT_FSR_macro
Ag2 C54 H48 N18 O6,ALIRES_FSR_macro
C36 Cd2 H32 I4 N12,ALITUL_FSR_macro
C38 Cd1 H32 N14 S2,ALIVEX_FSR_macro
C88 Cd4 H96 N24 O20,ALIVIB_FSR_macro
C36 Cd1 H32 I2 N12,ALIVOH_FSR_macro
C36 Cd2 Cl4 H40 N12 O4,ALIVUN_FSR_macro
C36 H56 N8 O8 Zn2,ALOJOA_FSR_macro
C64 H80 Mn8 O60,ALOLIY_FSR_macro
C72 H48 N12 O36 V8,ALONOE_FSR_macro
Ag8 C24 H16 Mo6 N20 O20,ALOVON_FSR_macro
Ag8 C24 H16 Mo8 N20 O26,ALOVUT_FSR_macro
Ag8 C20 H12 Mo8 N24 O26,ALOWAA_FSR_macro
C30 H30 N2 O16 Y2,ALUJUN_FSR_macro
C30 Dy2 H30 N2 O16,ALUKAU_FSR_macro
C100 H96 N12 O32 S8 Sm4,ALUKOI_FSR_macro
C100 Eu4 H96 N12 O32 S8,ALUKUO_FSR_macro
C100 Gd4 H96 N12 O32 S8,ALULAV_FSR_macro
C28 H28 N4 O8 Zn2,ALUPUS01_FSR_macro
C28 H28 N4 O8 Zn2,ALUPUS02_FSR_macro
C36 Cu2 H36 O8,AMACOI_FSR_macro
C40 Cd4 H24 N16 O16,AMAFIE_FSR_macro
C28 H20 N4 O20 Pb4,AMAJUU_FSR_macro
C40 Cu6 H48 N16 O10,AMANEJ_FSR_macro
C38 H34 N6 Ni2 O8,AMAQAG02_FSR_macro
C56 H36 N4 O28 Zn4,AMAZEV_FSR_macro
Br4 C24 Cd2 H20 N12 S4,AMBRCD_FSR_macro
Ag8 C56 H48 N8 O16,AMBZAG10_FSR_macro
C28 Cd2 H32 N6 O10,AMEQOZ_FSR_macro
C32 Cl2 Cu2 H36 N4 Na2 O12,AMEVIX_FSR_macro
C12 Cl2 Fe1 H6 N8 Ni1,AMIHOV01_FSR_macro
C32 Fe4 H20 I4 N24 Ni4 O4,AMIJAJ_FSR_macro
C52 Cd2 Cl4 H36 N4 O8,AMIKEN_FSR_macro
C52 Cd2 Cl4 H36 N4 O8,AMIKIR_FSR_macro
C96 Cd4 Cl8 H80 N16,AMIKOX_FSR_macro
C126 H110 N18 O34 Zn8,AMILUE_FSR_macro
C54 Cd4 H38 N2 O18,AMIMUE_FSR_macro
C28 H28 Li4 O16,AMINEP_FSR_macro
C32 Cl2 Cu2 H18 N6 O8,AMINUF_FSR_macro
C28 Cu1 H18 N8 O4,AMIPUJ_FSR_macro
C24 Er2 H20 O16,AMIXIE_FSR_macro
C24 H20 Nd2 O16,AMIXOK_FSR_macro
C24 H28 O20 Yb2,AMIYEB01_FSR_macro
C16 H40 O28 P4 S4 Sm4,AMOROK_FSR_macro
C16 H40 O28 P4 Pr4 S4,AMORUQ_FSR_macro
C60 H48 N4 O8 Zn2,AMOYIL_FSR_macro
C60 H48 N4 O8 Zn2,AMOYOR_FSR_macro
C36 H36 K4 N4 O48 Sm4,AMOZAE_FSR_macro
C18 H16 N2 O22 Pr2,AMOZEI_FSR_macro
C18 H16 La2 N2 O22,AMOZIM_FSR_macro
C18 H12 N2 O20 Tb2,AMOZOS_FSR_macro
C104 Cd4 H72 N24 O30,AMUCAN_FSR_macro
C30 Ca6 H36 O24,AMUCOB_FSR_macro
C32 Cl2 Co2 H26 O14,AMUDUJ_FSR_macro
C28 Co4 H28 N4 O20,AMUFIZ_FSR_macro
C30 Co4 H30 N4 O20,AMUFOF_FSR_macro
C24 Cu4 H16 N32 O4,AMULAX_FSR_macro
C24 Cd4 H24 N32 O8,AMULEB_FSR_macro
C64 Cd2 H44 N16 O8,AMULOK_FSR_macro
C108 H100 N24 O24 Zn6,AMUPOP_FSR_macro
C56 H24 Hg8 N8 O32,ANABAT_FSR_macro
C36 Ca4 H36 Hg4 N12 O28 S8,ANABIB_FSR_macro
C36 H36 Hg4 N12 O28 S8 Sr4,ANABOH_FSR_macro
Ba4 C36 H36 Hg4 N12 O28 S8,ANABUN_FSR_macro
C54 H44 N6 O14 Pr2,ANAFAY_FSR_macro
C60 Er2 H40 N6 O14,ANAGAZ_FSR_macro
Ag4 C96 H68 N8 O16,ANAGUS_FSR_macro
C32 H48 Mn4 N8 O16 S8,ANAMOT_FSR_macro
C32 F16 H12 In4 O24,ANAWIX_FSR_macro
C96 F48 H12 In12 O60,ANAWOD_FSR_macro
Br4 C16 H16 K4 N8 O12,ANAYUL_FSR_macro
Br4 C16 H16 N8 Na4 O12,ANAZAS_FSR_macro
Br4 C32 H32 N16 O24 Rb4,ANAZEW_FSR_macro
C72 Ca4 H80 N8 O32,ANEDON_FSR_macro
C60 Cd4 H84 N20 O24,ANEHOS_FSR_macro
C40 Cl4 Co2 H28 N4 O8,ANEPUG_FSR_macro
C44 Cl4 Co2 H32 N8 O8,ANEQAN_FSR_macro
C36 Cd2 Cl4 H28 N4 O12,ANEQUH_FSR_macro
C46 Cl4 Cu4 H64 N16,ANESES_FSR_macro
C38 Co2 H30 N14 O8,ANIDEH_FSR_macro
C26 Fe1 H16 Hg2 N10 S6,ANIDEI_FSR_macro
C32 Cu2 H28 N4 O12,ANIQOE_FSR_macro
C16 Cu2 H20 O20,ANIYUS_FSR_macro
C48 H28 N8 O16 S4 Zn2,ANODEN_FSR_macro
C54 H40 N8 O16 S4 Zn2,ANODIR_FSR_macro
C32 H64 Mg4 O28,ANOPID_FSR_macro
C24 Cl4 H48 I2 K2 O12,ANOROL_FSR_macro
C24 H36 Na8 O34,APANAI_FSR_macro
C26 Cu2 H16 N14 S2,APASAN_FSR_macro
Ba4 C48 H24 O16,APAXEV_FSR_macro
C48 Cd4 H36 N16 O16,APAXOF_FSR_macro
C16 H24 N16 O16 Zn4,APAYEW_FSR_macro
C84 H60 O32 Tb4,APAYOH_FSR_macro
C30 Cd2 H24 N6 O14,APAYUM_FSR_macro
C108 H76 O32 Tb4,APAZEY_FSR_macro
C108 H76 La4 O32,APAZIC_FSR_macro
C60 H44 La4 O32,APAZOI_FSR_macro
B2 C38 Cd2 H42 N18 O8,APEBEE_FSR_macro
Ag2 C12 H16 Ni1 O10,APEREU_FSR_macro
C40 Cd6 H40 O38,APETAS_FSR_macro
C64 H50 Mn2 N6 O8,APINAP01_FSR_macro
C10 F3 H8 In1 N2,APIROH_FSR_macro
Ag2 C12 H16 N2 O4,APIXIH_FSR_macro
C60 Cd2 H52 N8 O12,APOKAS_FSR_macro
C48 Cl6 Cu6 Gd2 H44 N6 O16,APOLAU_FSR_macro
C34 Cu4 Gd2 H32 I4 N4 O16,APOMID_FSR_macro
Br4 C34 Cu4 Gd2 H28 N4 O14,APONAW_FSR_macro
C34 Cu4 H32 I4 N4 Nd2 O16,APONIE_FSR_macro
C28 Cd4 H56 N16 O16 S8,APORUS_FSR_macro
Br6 C72 H102 N12 O12 Zn6,APUVIS_FSR_macro
C44 Cd2 H40 N8 O12,AQANOW01_FSR_macro
C32 Cl8 H56 O20 V4,AQAPOZ_FSR_macro
C54 Cl4 H40 Hg2 N4 O8,AQATAN_FSR_macro
Ag1 C14 H13 N2 O4,AQAVUJ_FSR_macro
Ag4 C28 H24 N4 O8,AQAWAQ01_FSR_macro
C6 Co3 H12 O18,AQAZUN_FSR_macro
